Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
29,0,68,24,49445,49514,F4FCBA
30,0,58,24,49445,49504,F4FCBA
31,0,69,24,49445,49515,F4FCBA
32,0,1802,24,49445,51248,F4FCBA
20,0,68,25,1448740,1448809,C013DC
21,0,194,25,1448740,1448935,C013DC
22,0,674,25,1448740,1449205,C013DC
21,33,194,26,188338,188500,1CFEA1
22,0,674,26,188338,189013,1CFEA1
23,0,782,26,188338,189121,1CFEA1
24,0,69,26,188338,188408,1CFEA1
25,0,344,26,188338,188683,1CFEA1
26,0,66,26,188338,188405,1CFEA1
27,0,293,26,188338,188632,1CFEA1
28,0,1367,26,188338,189706,1CFEA1
29,0,68,26,188338,188407,1CFEA1
30,0,58,26,188338,188397,1CFEA1
31,0,69,26,188338,188408,1CFEA1
32,0,1802,26,188338,190141,1CFEA1
21,33,194,27,31431,31593,0BAC96
22,0,674,27,31431,32106,0BAC96
23,0,782,27,31431,32214,0BAC96
24,0,69,27,31431,31501,0BAC96
25,0,344,27,31431,31776,0BAC96
26,0,66,27,31431,31498,0BAC96
27,0,293,27,31431,31725,0BAC96
28,0,1367,27,31431,32799,0BAC96
29,0,68,27,31431,31500,0BAC96
30,0,58,27,31431,31490,0BAC96
31,0,69,27,31431,31501,0BAC96
32,0,1254,27,31431,32686,0BAC96
23,36,782,14,138737,139484,4F2166
24,0,69,14,138737,138807,4F2166
25,0,58,14,138737,138796,4F2166
24,0,69,21,17085,17155,3ED1BD
25,0,344,21,17085,17430,3ED1BD
26,0,66,21,17085,17152,3ED1BD
27,0,293,21,17085,17379,3ED1BD
23,773,782,20,15341,15351,DB1F56
24,0,69,20,15341,15411,DB1F56
25,0,344,20,15341,15686,DB1F56
23,775,782,19,634326,634334,B5F2AE
24,0,69,19,634326,634396,B5F2AE
25,0,344,19,634326,634671,B5F2AE
26,0,66,19,634326,634393,B5F2AE
27,0,253,19,634326,634580,B5F2AE
25,39,206,8,20687,20855,E02EDA
25,39,206,18,171040,171208,076EE3
25,39,207,23,31730,31899,E0BF81
26,0,66,28,2130623,2130690,AD25FC
27,0,243,28,2130623,2130867,AD25FC
26,0,66,28,2310815,2310882,37E7EB
27,0,293,28,2310815,2311109,37E7EB
26,0,66,8,21177,21244,B6DBA9
27,0,293,8,21177,21471,B6DBA9
26,0,66,23,32223,32290,EBCF0F
27,0,293,23,32223,32517,EBCF0F
26,0,66,18,171533,171600,8CA8AA
27,0,293,18,171533,171827,8CA8AA
26,25,47,14,411853,411876,7FA0EF
27,0,147,14,411853,412001,7FA0EF
26,25,47,13,33818,33841,BA742D
27,0,121,13,33818,33940,BA742D
27,15,293,14,140154,140433,EB53BB
27,15,293,12,206129,206408,7AFEC4
27,212,293,14,412531,412613,2C544C
28,60,1367,29,433671,434979,1F946A
29,0,68,29,433671,433740,1F946A
30,0,58,29,433671,433730,1F946A
31,0,69,29,433671,433741,1F946A
28,60,1367,30,4300,5608,C5C03B
29,0,68,30,4300,4369,C5C03B
30,0,58,30,4300,4359,C5C03B
31,0,69,30,4300,4370,C5C03B
32,0,1802,30,4300,6103,C5C03B
28,60,1367,31,132520,133828,5A0314
29,0,68,31,132520,132589,5A0314
30,0,58,31,132520,132579,5A0314
31,0,69,31,132520,132590,5A0314
28,193,404,32,217688,217900,5B4870
28,440,832,14,140815,141208,695AED
28,471,1367,28,2312595,2313492,DF0609
29,0,68,28,2312595,2312664,DF0609
30,0,58,28,2312595,2312654,DF0609
31,0,69,28,2312595,2312665,DF0609
28,582,1159,21,19087,19665,4A3E68
28,615,1367,20,3878,4631,944722
29,0,68,20,3878,3947,944722
30,0,58,20,3878,3937,944722
31,0,69,20,3878,3948,944722
32,0,1,20,3878,3880,944722
28,615,1301,20,16513,17200,E1C67A
28,615,1301,19,635509,636196,EDC04C
28,771,1367,3,61116,61713,A5F6B8
29,0,68,3,61116,61185,A5F6B8
30,0,58,3,61116,61175,A5F6B8
31,0,69,3,61116,61186,A5F6B8
28,771,1367,2,57446,58043,2B9115
29,0,68,2,57446,57515,2B9115
30,0,58,2,57446,57505,2B9115
31,0,69,2,57446,57516,2B9115
28,843,1367,28,2131173,2131698,CAAE7A
29,0,68,28,2131173,2131242,CAAE7A
30,0,58,28,2131173,2131232,CAAE7A
31,0,69,28,2131173,2131243,CAAE7A
28,852,1001,12,207864,208014,A65249
28,869,1006,14,141914,142052,38FDF7
28,934,1367,14,414131,414565,D8D64D
29,0,32,14,414131,414164,D8D64D
28,1146,1367,21,20039,20261,73FEAE
29,0,68,21,20039,20108,73FEAE
30,0,58,21,20039,20098,73FEAE
31,0,69,21,20039,20109,73FEAE
32,0,1802,21,20039,21842,73FEAE
33,0,118,21,20039,20158,73FEAE
29,19,68,20,17260,17310,96B10C
30,0,58,20,17260,17319,96B10C
31,0,69,20,17260,17330,96B10C
32,0,1,20,17260,17262,96B10C
30,43,52,33,128818,128828,2A04ED
31,0,69,33,128818,128888,2A04ED
31,21,69,34,460042,460091,23CCE0
32,1034,1802,2,58863,59632,C29ED2
33,0,218,2,58863,59082,C29ED2
32,1034,1802,3,62527,63296,636230
33,0,518,3,62527,63046,636230
34,0,67,3,62527,62595,636230
35,0,1133,3,62527,63661,636230
36,0,65,3,62527,62593,636230
37,0,65,3,62527,62593,636230
32,1182,1802,31,135575,136196,57B638
32,1182,1802,29,436746,437367,6D0FAB
32,1243,1802,27,43877,44437,8FA8E7
35,0,1133,5,1131178,1131987,95CB68
35,738,971,5,1132410,1132644,4DED40
36,0,65,5,1132410,1132476,4DED40
37,0,57,5,1132410,1132468,4DED40
37,38,65,2,61315,61343,F47117
