#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
1283	1239	187	103	34	chr1	91572116	91572437	-103278320	-	CSINE2	SINE	SINE	-1	343	1	1
1283	1043	203	23	19	chr1	91572468	91572680	-103278077	+	CSINE1	SINE	SINE	2	214	-126	1
1283	2178	21	3	36	chr1	91572680	91572982	-103277775	+	CSINE3A	SINE	SINE	1	292	-58	1
1283	2383	65	3	55	chr1	91573264	91573625	-103277132	-	CSINE3A	SINE	SINE	-7	343	2	1
1283	237	173	19	19	chr1	91573627	91573680	-103277077	+	CSINE2	SINE	SINE	287	339	-5	1
1283	1568	99	47	85	chr1	91573670	91573989	-103276768	-	CSINE2	SINE	SINE	-5	339	1	1
1283	285	269	41	65	chr1	91574033	91574156	-103276601	+	CSINE2	SINE	SINE	84	203	-141	1
1283	282	229	110	40	chr1	91574141	91574241	-103276516	+	CSINE1	SINE	SINE	208	314	-26	1
1283	337	297	55	0	chr1	91574251	91574416	-103276341	+	BLACKJACK	DNA	hAT-Blackjack	2783	2956	-13	1
1283	1944	162	36	6	chr1	91574732	91575062	-103275695	+	CSINE1	SINE	SINE	1	340	0	1
1283	1677	171	115	0	chr1	91575447	91575698	-103275059	+	CSINE2	SINE	SINE	5	260	-84	1
1283	393	22	0	0	chr1	91575698	91575744	-103275013	+	(TC)n	Simple_repeat	Simple_repeat	2	47	0	1
1283	1677	171	115	0	chr1	91575744	91575796	-103274961	+	CSINE2	SINE	SINE	261	342	-2	1
1283	321	289	96	9	chr1	91576080	91576195	-103274562	+	L1M4b	LINE	L1	45	169	-7165	1
1283	2485	61	60	3	chr1	91576198	91576529	-103274228	+	CSINE3A	SINE	SINE	1	350	0	1
775	23	33	0	0	chr1	24940754	24940784	-169909973	+	AT_rich	Low_complexity	Low_complexity	1	30	0	4
775	229	262	65	48	chr1	24940843	24940963	-169909794	+	MIR	SINE	MIR	103	231	-37	4
775	22	80	0	0	chr1	24940977	24941027	-169909730	+	AT_rich	Low_complexity	Low_complexity	1	50	0	4
775	373	278	34	17	chr1	24941528	24941645	-169909112	+	MER5A1	DNA	hAT-Charlie	2	120	-46	4
775	1013	236	7	102	chr1	24942040	24942394	-169908363	+	CSINE2	SINE	SINE	5	327	-13	4
775	408	315	56	63	chr1	24942862	24943147	-169907610	+	CSINE2	SINE	SINE	1	283	-61	4
775	297	328	33	25	chr1	24943638	24943760	-169906997	+	MIRb	SINE	MIR	86	208	-60	4
775	279	287	103	32	chr1	24943817	24943972	-169906785	-	MIR	SINE	MIR	-15	247	82	4
775	267	341	0	0	chr1	24944640	24944722	-169906035	-	MIRc	SINE	MIR	-85	183	102	4
775	356	182	171	9	chr1	24944740	24944851	-169905906	-	Charlie10	DNA	hAT-Charlie	0	2822	2694	4
1540	3800	255	14	29	chr1	125252655	125253666	-69597091	-	L1A_Oc	LINE	L1	-1478	5019	4009	1
1540	677	267	111	24	chr1	125254147	125254562	-69596195	+	L1MA5	LINE	L1	5850	6300	0	1
1540	193	406	129	27	chr1	125254685	125254910	-69595847	-	L2c	LINE	L2	-223	3164	2917	1
1540	374	217	142	19	chr1	125254927	125255082	-69595675	-	MER53	DNA	hAT	0	193	20	1
1540	528	95	0	0	chr1	125255082	125255156	-69595601	-	L1A_Oc	LINE	L1	-55	6442	6369	1
1540	248	224	0	0	chr1	125255156	125255205	-69595552	-	MER53	DNA	hAT	-144	49	1	1
1540	21	0	0	0	chr1	125255275	125255296	-69595461	+	AT_rich	Low_complexity	Low_complexity	1	21	0	1
1540	975	23	120	0	chr1	125255299	125255432	-69595325	-	CSINE3A	SINE	SINE	-8	342	194	1
1540	1566	181	7	7	chr1	125256369	125256652	-69594105	+	CSINE2	SINE	SINE	1	283	-61	1
1540	290	56	0	0	chr1	125256651	125256687	-69594070	-	U2	snRNA	snRNA	-152	36	1	1
1540	283	91	11	154	chr1	125256717	125256808	-69593949	+	CSINE2	SINE	SINE	261	338	-6	1
1540	21	57	0	0	chr1	125257323	125257358	-69593399	+	AT_rich	Low_complexity	Low_complexity	1	35	0	1
1540	2113	102	52	6	chr1	125258087	125258411	-69592346	+	CSINE3A	SINE	SINE	1	339	-11	1
1492	423	344	144	12	chr1	118981553	118981880	-75868877	-	L1M3e	LINE	L1	-6651	379	10	1
1492	943	281	15	19	chr1	118982297	118982558	-75868199	-	CSINE2	SINE	SINE	-78	266	7	1
1492	1706	264	22	2	chr1	118982801	118983302	-75867455	-	L1MA4	LINE	L1	-374	5926	5416	1
1492	1430	134	181	4	chr1	118983407	118983444	-75867313	-	CSINE1	SINE	SINE	-14	326	259	1
1492	276	30	0	0	chr1	118983444	118983477	-75867280	+	(GA)n	Simple_repeat	Simple_repeat	1	33	0	1
1492	1430	134	181	4	chr1	118983477	118983716	-75867041	-	CSINE1	SINE	SINE	-82	258	2	1
1492	2204	128	9	9	chr1	118983760	118984108	-75866649	-	CSINE3A	SINE	SINE	-2	348	1	1
1492	21	71	0	0	chr1	118984397	118984439	-75866318	+	AT_rich	Low_complexity	Low_complexity	1	42	0	1
1492	251	128	0	0	chr1	118984449	118984488	-75866269	+	U5	snRNA	snRNA	1	39	-77	1
1492	1416	209	24	54	chr1	118984488	118984822	-75865935	-	CSINE1	SINE	SINE	-16	324	1	1
1492	189	0	0	0	chr1	118985151	118985172	-75865585	+	(T)n	Simple_repeat	Simple_repeat	1	21	0	1
1492	1974	132	12	21	chr1	118985370	118985704	-75865053	+	CSINE2	SINE	SINE	1	331	-13	1
585	2181	66	209	0	chrUn0634	35981	36283	-51945	-	LTR2C_OC	LTR	ERV1	0	365	1	4
585	591	30	0	0	chrUn0634	36820	36886	-51342	+	ERVNOC_LTR	LTR	ERVK	1	66	-416	4
585	606	15	0	0	chrUn0634	36888	36954	-51274	+	ERVNOC_LTR	LTR	ERVK	1	66	-416	4
585	3785	57	13	0	chrUn0634	36956	37432	-50796	+	ERVNOC_LTR	LTR	ERVK	1	482	0	4
585	329	71	0	0	chrUn0634	37464	37506	-50722	+	ERVNOC_LTR	LTR	ERVK	441	482	0	4
585	2296	94	31	0	chrUn0634	37510	37830	-50398	-	CSINE3A	SINE	SINE	-20	330	1	4
585	644	203	32	8	chrUn0634	37992	38116	-50112	-	CSINE2	SINE	SINE	-217	127	1	4
585	386	304	36	15	chrUn0634	38321	38458	-49770	+	LTR86B1	LTR	ERVL	108	247	-246	4
585	22	0	0	0	chrUn0634	39527	39549	-48679	+	AT_rich	Low_complexity	Low_complexity	1	22	0	4
585	378	129	0	0	chrUn0634	39588	39650	-48578	+	(TA)n	Simple_repeat	Simple_repeat	1	62	0	4
585	1840	165	37	9	chrUn0634	39658	39983	-48245	-	CSINE3A	SINE	SINE	-16	334	1	4
585	7664	109	1	23	chrUn0634	40121	41425	-46803	-	L1A_Oc	LINE	L1	-50	6447	4976	4
585	191	327	109	0	chrUn0634	32206	32307	-55921	-	L2c	LINE	L2	-246	3141	3030	4
585	249	33	0	0	chrUn0634	32772	32802	-55426	+	(CA)n	Simple_repeat	Simple_repeat	2	31	0	4
585	358	317	39	10	chrUn0634	33113	33215	-55013	+	L2c	LINE	L2	3283	3387	0	4
585	403	341	23	17	chrUn0634	33437	33610	-54618	-	CSINE1	SINE	SINE	-55	285	112	4
585	1522	160	110	3	chrUn0634	34078	34360	-53868	+	CSINE1	SINE	SINE	1	312	-28	4
585	30	59	0	0	chrUn0634	34760	34811	-53417	+	AT_rich	Low_complexity	Low_complexity	1	51	0	4
585	1167	240	143	13	chrUn0634	34887	35187	-53041	+	CSINE2	SINE	SINE	1	339	-5	4
585	1995	158	6	36	chrUn0634	35196	35530	-52698	+	CSINE2	SINE	SINE	1	324	-20	4
585	189	0	0	0	chrUn0634	35537	35558	-52670	+	(CAA)n	Simple_repeat	Simple_repeat	2	22	0	4
585	2181	66	209	0	chrUn0634	35981	36283	-51945	-	LTR2C_OC	LTR	ERV1	0	365	1	4
585	375	181	0	0	chrUn0634	70027	70099	-18129	-	tRNA-Gln-CAA_	tRNA	tRNA	-3	72	1	4
585	1115	285	84	19	chrUn0634	72047	72559	-15669	+	L1MC4	LINE	L1	7302	7846	-196	4
585	947	304	95	26	chrUn0634	72679	73852	-14376	+	L1ME3D	LINE	L1	3982	5281	-865	4
585	759	283	116	12	chrUn0634	73884	74464	-13764	+	L1ME3D	LINE	L1	5364	6009	-233	4
585	248	0	31	0	chrUn0634	74942	74974	-13254	+	(TA)n	Simple_repeat	Simple_repeat	1	33	0	4
585	1085	258	99	78	chrUn0634	55644	56818	-31410	+	L1MA4	LINE	L1	3156	4353	-2191	4
585	287	261	14	0	chrUn0634	56912	56981	-31247	+	CSINE2	SINE	SINE	190	259	-85	4
585	279	0	0	0	chrUn0634	56988	57019	-31209	+	(TC)n	Simple_repeat	Simple_repeat	1	31	0	4
585	795	231	62	58	chrUn0634	57027	57492	-30736	+	L1MA4	LINE	L1	6129	6328	-370	4
585	301	276	88	16	chrUn0634	57730	57855	-30373	+	L1MD	LINE	L1	4193	4326	-1820	4
585	1522	202	37	12	chrUn0634	57866	58187	-30041	+	CSINE1	SINE	SINE	6	334	-6	4
585	255	152	0	0	chrUn0634	58265	58311	-29917	+	(TA)n	Simple_repeat	Simple_repeat	2	47	0	4
585	503	173	109	8	chrUn0634	58487	58615	-29613	-	L1MA5	LINE	L1	0	6300	6160	4
585	186	289	22	0	chrUn0634	58945	58990	-29238	-	MIRb	SINE	MIR	-23	245	200	4
585	793	123	21	124	chrUn0634	59599	59785	-28443	-	CSINE2	SINE	SINE	0	344	178	4
585	2258	97	69	0	chrUn0634	59794	60114	-28114	-	CSINE2	SINE	SINE	-2	342	1	4
585	412	161	0	11	chrUn0634	60114	60202	-28026	-	L1MA5	LINE	L1	-857	5440	5354	4
585	280	254	31	47	chrUn0634	60239	60367	-27861	-	L1MEe	LINE	L1	-4611	243	118	4
585	2193	67	91	19	chrUn0634	60798	61116	-27112	-	CSINE3A	SINE	SINE	-9	341	1	4
585	316	301	92	23	chrUn1218	4458	4626	-19950	-	MIR	SINE	MIR	-6	262	78	4
585	2123	122	61	3	chrUn1218	4638	4968	-19608	-	CSINE3A	SINE	SINE	-1	349	1	4
585	1771	196	8	6	chrUn1218	5379	5733	-18843	+	L1A_Oc	LINE	L1	5733	6087	-410	4
585	183	42	0	0	chrUn1218	5748	5772	-18804	+	(GGGAGA)n	Simple_repeat	Simple_repeat	1	24	0	4
585	410	205	0	41	chrUn1218	5773	5895	-18681	+	L1A_Oc	LINE	L1	6348	6464	-33	4
585	265	290	141	27	chrUn1218	5902	6051	-18525	-	MIR3	SINE	MIR	-9	199	34	4
585	1447	215	58	9	chrUn1218	6580	6908	-17668	+	CSINE2	SINE	SINE	1	344	0	4
585	21	36	0	0	chrUn1218	7083	7111	-17465	+	AT_rich	Low_complexity	Low_complexity	1	28	0	4
585	2388	103	18	3	chrUn1218	7549	7890	-16686	+	CSINE3A	SINE	SINE	1	346	-4	4
585	849	278	73	47	chrUn1218	7894	8010	-16566	+	L1MA4	LINE	L1	3339	3451	-2695	4
585	316	301	92	23	chrUn1218	4458	4626	-19950	-	MIR	SINE	MIR	-6	262	78	4
585	2123	122	61	3	chrUn1218	4638	4968	-19608	-	CSINE3A	SINE	SINE	-1	349	1	4
585	1771	196	8	6	chrUn1218	5379	5733	-18843	+	L1A_Oc	LINE	L1	5733	6087	-410	4
585	183	42	0	0	chrUn1218	5748	5772	-18804	+	(GGGAGA)n	Simple_repeat	Simple_repeat	1	24	0	4
585	410	205	0	41	chrUn1218	5773	5895	-18681	+	L1A_Oc	LINE	L1	6348	6464	-33	4
585	265	290	141	27	chrUn1218	5902	6051	-18525	-	MIR3	SINE	MIR	-9	199	34	4
585	1447	215	58	9	chrUn1218	6580	6908	-17668	+	CSINE2	SINE	SINE	1	344	0	4
585	21	36	0	0	chrUn1218	7083	7111	-17465	+	AT_rich	Low_complexity	Low_complexity	1	28	0	4
585	2388	103	18	3	chrUn1218	7549	7890	-16686	+	CSINE3A	SINE	SINE	1	346	-4	4
585	849	208	26	32	chrUn1218	9375	9535	-15041	+	L1MA4	LINE	L1	5790	5930	-370	4
585	1493	179	67	13	chrUn1218	9909	10221	-14355	+	CSINE1	SINE	SINE	6	334	-6	4
585	198	71	0	0	chrUn1218	10299	10327	-14249	+	(TA)n	Simple_repeat	Simple_repeat	1	28	0	4
585	352	262	76	47	chrUn1218	10341	10513	-14063	+	L1M5	LINE	L1	4475	4651	-1495	4
585	469	181	109	8	chrUn1218	10519	10647	-13929	-	L1MA5	LINE	L1	0	6300	6160	4
585	186	289	22	0	chrUn1218	10976	11021	-13555	-	MIRb	SINE	MIR	-23	245	200	4
585	793	138	5	117	chrUn1218	11626	11814	-12762	-	CSINE2	SINE	SINE	0	344	178	4
585	2212	103	72	0	chrUn1218	11823	12142	-12434	-	CSINE2	SINE	SINE	-2	342	1	4
585	436	149	0	11	chrUn1218	12142	12230	-12346	-	L1MA5	LINE	L1	-857	5440	5354	4
585	297	273	9	9	chrUn1218	12282	12393	-12183	-	L1MEg	LINE	L1	-4709	1375	1265	4
585	945	276	91	31	chrUn1218	13388	13966	-10610	+	L1MC4	LINE	L1	6448	7088	-954	4
585	316	301	92	23	chrUn1218	4458	4626	-19950	-	MIR	SINE	MIR	-6	262	78	4
585	2123	122	61	3	chrUn1218	4638	4968	-19608	-	CSINE3A	SINE	SINE	-1	349	1	4
585	1771	196	8	6	chrUn1218	5379	5733	-18843	+	L1A_Oc	LINE	L1	5733	6087	-410	4
585	183	42	0	0	chrUn1218	5748	5772	-18804	+	(GGGAGA)n	Simple_repeat	Simple_repeat	1	24	0	4
585	410	205	0	41	chrUn1218	5773	5895	-18681	+	L1A_Oc	LINE	L1	6348	6464	-33	4
585	265	290	141	27	chrUn1218	5902	6051	-18525	-	MIR3	SINE	MIR	-9	199	34	4
585	1447	215	58	9	chrUn1218	6580	6908	-17668	+	CSINE2	SINE	SINE	1	344	0	4
585	21	36	0	0	chrUn1218	7083	7111	-17465	+	AT_rich	Low_complexity	Low_complexity	1	28	0	4
585	2388	103	18	3	chrUn1218	7549	7890	-16686	+	CSINE3A	SINE	SINE	1	346	-4	4
585	849	278	73	47	chrUn1218	7894	8010	-16566	+	L1MA4	LINE	L1	3339	3451	-2695	4
585	2629	93	6	0	chrUn1218	8010	8355	-16221	+	CSINE3A	SINE	SINE	2	348	-2	4
585	849	278	73	47	chrUn1218	8355	8839	-15737	+	L1MA4	LINE	L1	3452	3955	-2191	4
585	487	236	6	129	chrUn1218	8856	9026	-15550	+	CSINE2	SINE	SINE	129	277	-67	4
585	849	239	124	25	chrUn1218	9065	9344	-15232	+	L1MA4	LINE	L1	5731	5789	-511	4
585	279	0	0	0	chrUn1218	9344	9375	-15201	+	(TG)n	Simple_repeat	Simple_repeat	2	32	0	4
585	849	208	26	32	chrUn1218	9375	9535	-15041	+	L1MA4	LINE	L1	5790	5930	-370	4
585	1931	144	43	9	chrUn0658	35388	35711	-46011	-	CSINE3A	SINE	SINE	-16	334	1	4
585	978	84	0	7	chrUn0658	35849	35993	-45729	-	L1A_Oc	LINE	L1	-49	6448	6306	4
585	367	252	107	47	chrUn0658	40126	40276	-41446	-	MIRb	SINE	MIR	-73	195	37	4
585	1492	201	17	3	chrUn0658	40631	40926	-40796	+	L1A_Oc	LINE	L1	5733	6031	-466	4
585	1981	157	20	34	chrUn0658	31485	31834	-49888	+	CSINE2	SINE	SINE	1	344	0	4
585	2128	80	209	0	chrUn0658	32265	32567	-49155	-	LTR2C_OC	LTR	ERV1	0	365	1	4
585	1095	107	6	6	chrUn0658	33466	33626	-48096	-	CSINE3A	SINE	SINE	-190	160	1	4
585	644	203	32	8	chrUn0658	33788	33912	-47810	-	CSINE2	SINE	SINE	-217	127	1	4
585	386	304	36	15	chrUn0658	34117	34254	-47468	+	LTR86B1	LTR	ERVL	108	247	-246	4
585	24	0	0	0	chrUn0658	35323	35347	-46375	+	AT_rich	Low_complexity	Low_complexity	1	24	0	4
585	246	128	0	0	chrUn0658	35349	35388	-46334	+	(CA)n	Simple_repeat	Simple_repeat	2	40	0	4
585	1931	144	43	9	chrUn0658	35388	35711	-46011	-	CSINE3A	SINE	SINE	-16	334	1	4
585	978	84	0	7	chrUn0658	35849	35993	-45729	-	L1A_Oc	LINE	L1	-49	6448	6306	4
585	880	308	94	26	chrUn0658	68915	70089	-11633	+	L1ME3D	LINE	L1	3982	5281	-865	4
585	759	285	111	14	chrUn0658	70121	70705	-11017	+	L1ME3D	LINE	L1	5364	6009	-233	4
585	315	0	0	0	chrUn0658	71183	71218	-10504	+	(TA)n	Simple_repeat	Simple_repeat	1	35	0	4
585	3784	35	30	0	chrUn0658	71278	71742	-9980	+	ERVNOC_LTR	LTR	ERVK	5	482	0	4
585	989	231	176	45	chrUn0658	71925	72414	-9308	+	L1ME3A	LINE	L1	5553	6105	-68	4
585	300	228	67	50	chrUn0658	72445	72565	-9157	+	L1A_Oc	LINE	L1	4982	5103	-1394	4
585	24	0	0	0	chrUn0658	72818	72842	-8880	+	AT_rich	Low_complexity	Low_complexity	1	24	0	4
585	257	149	0	0	chrUn0658	72986	73033	-8689	+	L1ME3A	LINE	L1	6119	6165	-8	4
585	266	202	114	45	chrUn0658	73389	73477	-8245	+	L1M5	LINE	L1	5728	5821	-343	4
585	188	333	0	0	chrUn0658	73826	73880	-7842	+	MIRc	SINE	MIR	113	166	-102	4
585	2262	94	69	0	chrUn0658	55782	56102	-25620	-	CSINE2	SINE	SINE	-2	342	1	4
585	412	161	0	11	chrUn0658	56102	56190	-25532	-	L1MA5	LINE	L1	-857	5440	5354	4
585	299	256	24	47	chrUn0658	56227	56354	-25368	-	L1MEe	LINE	L1	-4611	243	120	4
585	2507	28	73	24	chrUn0658	56520	56849	-24873	-	CSINE3A	SINE	SINE	-5	345	1	4
585	1978	59	88	7	chrUn0658	57141	57446	-24276	-	CSINE3A	SINE	SINE	-20	330	1	4
585	986	266	104	49	chrUn0658	50170	50509	-31213	+	L1MA4	LINE	L1	1317	1653	-4987	4
585	745	245	24	63	chrUn0658	50538	50825	-30897	+	CSINE2	SINE	SINE	1	276	-68	4
585	1112	258	94	80	chrUn0658	51073	52227	-29495	+	L1MA4	LINE	L1	3183	4353	-2191	4
585	471	240	6	128	chrUn0658	52244	52416	-29306	+	CSINE2	SINE	SINE	129	279	-65	4
585	826	241	135	14	chrUn0658	52417	52722	-29000	+	L1MA4	LINE	L1	6129	6185	-513	4
585	207	0	0	0	chrUn0658	52722	52745	-28977	+	(TG)n	Simple_repeat	Simple_repeat	2	24	0	4
585	826	216	31	2	chrUn0658	52745	52908	-28814	+	L1MA4	LINE	L1	6186	6327	-371	4
585	303	276	88	16	chrUn0658	53146	53271	-28451	+	L1MD	LINE	L1	4193	4326	-1820	4
585	1533	199	37	12	chrUn0658	53282	53603	-28119	+	CSINE1	SINE	SINE	6	334	-6	4
585	237	159	0	0	chrUn0658	54255	54299	-27423	+	(TA)n	Simple_repeat	Simple_repeat	2	45	0	4
585	488	181	109	8	chrUn0658	54475	54603	-27119	-	L1MA5	LINE	L1	0	6300	6160	4
585	186	289	22	0	chrUn0658	54933	54978	-26744	-	MIRb	SINE	MIR	-23	245	200	4
595	701	275	57	32	chrUn0043	1346569	1346858	-1005533	+	MLT1H2	LTR	ERVL-MaLR	26	319	-272	3
595	1585	159	0	0	chrUn0043	1347265	1347516	-1004875	+	CSINE1	SINE	SINE	3	253	-87	3
595	342	45	0	0	chrUn0043	1347516	1347560	-1004831	+	(TC)n	Simple_repeat	Simple_repeat	1	44	0	3
594	334	328	113	52	chrUn0043	1211351	1211660	-1140731	-	L1M2	LINE	L1	-868	5275	4948	3
594	422	141	10	39	chrUn0043	1211694	1211791	-1140600	+	CT-rich	Low_complexity	Low_complexity	7	101	0	3
594	1971	123	92	25	chrUn0043	1211791	1211849	-1140542	-	CSINE2	SINE	SINE	-6	338	262	3
594	387	0	0	0	chrUn0043	1211849	1211892	-1140499	+	(GA)n	Simple_repeat	Simple_repeat	1	43	0	3
594	1971	123	92	25	chrUn0043	1211892	1212150	-1140241	-	CSINE2	SINE	SINE	-83	261	2	3
594	1265	228	101	16	chrUn0043	1212156	1212216	-1140175	-	CSINE2	SINE	SINE	0	344	261	3
594	294	29	0	0	chrUn0043	1212216	1212251	-1140140	+	(GA)n	Simple_repeat	Simple_repeat	2	36	0	3
594	1265	228	101	16	chrUn0043	1212251	1212507	-1139884	-	CSINE2	SINE	SINE	-84	260	2	3
594	2113	118	51	9	chrUn0043	1212622	1212957	-1139434	+	CSINE3A	SINE	SINE	1	349	-1	3
594	1886	151	3	37	chrUn0043	1213056	1213380	-1139011	+	CSINE2	SINE	SINE	1	313	-31	3
594	225	0	0	0	chrUn0043	1213380	1213405	-1138986	+	(TAAA)n	Simple_repeat	Simple_repeat	2	26	0	3
594	2652	78	9	0	chrUn0043	1213558	1213902	-1138489	+	CSINE3A	SINE	SINE	1	347	-3	3
594	766	180	64	0	chrUn0043	1214692	1214864	-1137527	+	L1M2	LINE	L1	4204	4386	-1757	3
594	709	289	63	36	chrUn0043	1214928	1215201	-1137190	+	CSINE2	SINE	SINE	35	316	-28	3
594	2149	130	43	9	chrUn0043	1215201	1215528	-1136863	-	CSINE2	SINE	SINE	-6	338	1	3
594	709	289	63	36	chrUn0043	1215528	1215556	-1136835	+	CSINE2	SINE	SINE	317	344	0	3
594	1980	150	12	9	chrUn0043	1216041	1216377	-1136014	-	CSINE2	SINE	SINE	0	344	8	3
589	573	193	122	64	chrUn0043	585753	585941	-1766450	-	CSINE2	SINE	SINE	-47	297	99	3
589	435	285	148	18	chrUn0043	586029	586368	-1766023	-	L1MEb	LINE	L1	-4264	1978	1596	3
589	180	0	0	0	chrUn0043	586402	586422	-1765969	+	(TG)n	Simple_repeat	Simple_repeat	2	21	0	3
589	531	265	125	12	chrUn0043	586512	586833	-1765558	-	L1MEb	LINE	L1	-4814	1428	1072	3
589	24	0	0	0	chrUn0043	586841	586865	-1765526	+	AT_rich	Low_complexity	Low_complexity	1	24	0	3
589	560	258	41	29	chrUn0043	586875	587047	-1765344	-	CSINE2	SINE	SINE	-74	270	97	3
589	1827	186	16	0	chrUn0043	587149	587514	-1764877	-	LTR71_OC	LTR	ERV1	0	389	19	3
589	1033	286	71	45	chrUn0043	587540	588160	-1764231	-	L1MEb	LINE	L1	-5099	1037	402	3
589	254	265	57	41	chrUn0043	588285	588407	-1763984	-	L1MEb	LINE	L1	-5920	216	93	3
589	682	204	52	52	chrUn0043	588626	588838	-1763553	-	CSINE2	SINE	SINE	-49	295	84	3
589	634	322	7	38	chrUn0043	589290	589580	-1762811	-	CSINE1	SINE	SINE	-58	282	2	3
589	1872	170	30	27	chrUn0043	589897	590235	-1762156	-	CSINE2	SINE	SINE	-5	339	1	3
597	2890	32	8	20	chrUn0043	1642820	1643173	-709218	-	CSINE3A	SINE	SINE	-1	349	1	3
597	1504	171	81	7	chrUn0043	1643173	1643456	-708935	-	CSINE2	SINE	SINE	-1	343	40	3
597	499	330	91	24	chrUn0043	1643733	1644074	-708317	+	Arthur1	DNA	hAT-Tip100	3485	3848	-99	3
