Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
18,17579018,17579308,25,238,237,22F355
18,69222268,69222503,25,238,237,EE5FCA
18,69222268,69222335,26,0,66,EE5FCA
18,69222268,69222379,27,0,110,EE5FCA
18,17579665,17579742,25,268,344,AF4768
18,17579665,17579732,26,0,66,AF4768
18,17579665,17579959,27,0,293,AF4768
18,17579665,17580711,28,45,44,AF4768
1,75755940,75756637,28,252,948,54AF6D
15,48170827,48171360,28,252,784,224C9A
17,53752087,53752684,28,325,921,A1F640
15,31338410,31338773,28,559,921,3276B6
2,154330612,154330721,28,583,691,DA3897
19,3089165,3089918,28,615,1367,4E8862
19,3089165,3089234,29,0,68,4E8862
19,3089165,3089224,30,0,58,4E8862
19,3089165,3089235,31,0,69,4E8862
19,3089165,3089167,32,0,1,4E8862
2,154330735,154331061,28,748,1073,15101A
9,42953241,42953816,28,793,1367,F10E1B
9,42953241,42953310,29,0,68,F10E1B
9,42953241,42953300,30,0,58,F10E1B
9,42953241,42953311,31,0,69,F10E1B
9,42953241,42953284,32,5,4,F10E1B
4,8574036,8574105,29,0,68,5B5F63
4,8574036,8574095,30,0,58,5B5F63
4,8574036,8574106,31,0,69,5B5F63
4,8574036,8574069,32,5,4,5B5F63
19,3001013,3001063,29,19,68,DF8D96
19,3001013,3001072,30,0,58,DF8D96
19,3001013,3001083,31,0,69,DF8D96
19,3001013,3001015,32,0,1,DF8D96
15,99938125,99938147,30,31,52,1C7596
15,99938125,99938195,31,0,69,1C7596
15,99938125,99938540,32,0,414,1C7596
2,154331756,154331768,30,41,52,62BFCD
2,154331756,154331826,31,0,69,62BFCD
2,154331756,154331757,32,0,0,62BFCD
7,126586174,126586178,30,49,52,694043
7,126586174,126586244,31,0,69,694043
7,126586174,126586176,32,0,1,694043
3,22500467,22500691,32,42,265,9D73CB
7,126586487,126586785,32,517,516,2491EF
13,70579731,70579824,32,345,437,D3D271
15,99939017,99939084,32,437,503,E0BD9B
12,10734204,10734275,32,517,516,08D4B6
7,103882371,103882734,32,702,1064,86898D
18,33133071,33133155,32,800,883,3B84CD
2,38023391,38023662,32,1541,1540,D2C9A2
9,78086277,78086523,32,1557,1802,6208A7
9,78086277,78086753,33,0,475,6208A7
19,49140309,49140358,32,1575,1623,1A4A66
2,38024495,38024697,32,1601,1802,DB8750
2,38024495,38024601,33,0,105,DB8750
9,63094829,63095026,32,1606,1802,A4BDDF
9,63094829,63095022,33,0,192,A4BDDF
14,70321076,70321191,33,269,383,553E16
14,5159067,5159315,33,271,518,21BBBA
14,5159067,5159135,34,0,67,21BBBA
14,5159067,5159225,35,972,1129,21BBBA
17,17000447,17000679,33,287,518,AA6AE3
17,17000447,17000515,34,0,67,AA6AE3
17,17000447,17000552,35,972,1076,AA6AE3
1,75611658,75611741,33,436,518,33C91E
1,75611658,75611726,34,0,67,33C91E
1,75611658,75612536,35,0,1133,33C91E
9,78087323,78087360,33,496,495,DB731C
9,78087323,78087391,34,0,67,DB731C
9,78087323,78087487,35,0,1133,DB731C
13,43257427,43257555,35,512,511,E42FF3
