Species_1,Start_1,End_1,Species_2,Start_2,End_2,fill
14,0,68,1,0,69,58DC58
15,0,65,1,0,66,58DC58
16,0,1535,1,0,1536,58DC58
17,0,68,1,0,69,58DC58
18,0,68,1,0,69,58DC58
19,0,680,1,0,681,58DC58
20,0,68,1,0,69,58DC58
21,0,194,1,0,195,58DC58
22,0,674,1,0,675,58DC58
23,0,782,1,0,783,58DC58
24,0,69,1,0,70,58DC58
25,0,344,1,0,345,58DC58
26,0,66,1,0,67,58DC58
27,0,293,1,0,294,58DC58
28,0,1367,1,0,1368,58DC58
29,0,68,1,0,69,58DC58
30,0,58,1,0,59,58DC58
31,0,69,1,0,70,58DC58
32,0,1802,1,0,1803,58DC58
33,0,518,1,0,519,58DC58
34,0,67,1,0,68,58DC58
35,0,1133,1,0,1134,58DC58
36,0,65,1,0,66,58DC58
37,0,65,1,0,66,58DC58
2,727,932,1,17928,18134,64F2C5
2,727,912,1,17948,18134,88FE51
2,727,872,1,17984,18130,58069E
2,729,852,1,18010,18134,050594
2,729,872,1,422,566,9481DD
2,729,912,1,374,558,D0AF5C
2,729,832,1,466,570,4767E8
2,729,852,1,442,566,40279E
2,729,892,1,17970,18134,0D9B82
2,729,892,1,394,558,80EDE0
2,773,952,1,17858,18038,BCE6AD
2,777,952,1,322,498,B7BDF9
2,793,950,1,17858,18016,8A218B
2,797,949,1,322,475,4A787E
2,813,952,1,17858,17998,F206DC
3,0,65,3,67160,67226,8662C8
4,0,1580,3,67160,68741,8662C8
5,0,74,3,67160,67235,8662C8
6,0,950,3,67160,68111,8662C8
7,0,69,3,67160,67230,8662C8
8,0,71,3,67160,67232,8662C8
9,0,68,3,67160,67229,8662C8
10,0,1037,3,67160,68198,8662C8
11,0,66,3,67160,67227,8662C8
12,0,66,3,67160,67227,8662C8
13,0,72,3,67160,67233,8662C8
14,0,68,3,67160,67229,8662C8
15,0,65,3,67160,67226,8662C8
16,0,474,3,67160,67635,8662C8
2,817,952,1,322,458,473738
2,837,952,1,322,438,470AF0
2,857,952,1,322,418,1601E6
4,72,273,4,10504,10706,093D1D
4,94,314,5,1144599,1144820,0363F3
4,123,307,6,3711859,3712044,AC0500
4,760,883,7,3438128,3438252,26E429
4,962,1580,8,68065,68684,3B8390
5,0,74,8,68065,68088,3B8390
4,962,1580,9,1143,1762,1A4997
5,0,74,9,1143,1166,1A4997
4,962,1580,10,236907,237526,62F47B
5,0,74,10,236907,236930,62F47B
4,962,1580,11,279546,280165,6BCD7E
5,0,74,11,279546,279569,6BCD7E
4,1118,1580,5,1146326,1146789,5A224E
5,0,74,5,1146326,1146401,5A224E
6,0,268,5,1146326,1146595,5A224E
10,0,1037,2,66435,67436,DCE936
11,0,66,2,66435,66502,DCE936
12,0,66,2,66435,66502,DCE936
13,0,72,2,66435,66508,DCE936
14,0,68,2,66435,66504,DCE936
15,0,65,2,66435,66501,DCE936
16,0,474,2,66435,66910,DCE936
10,0,1037,12,204027,204401,300A90
10,0,1037,13,31650,32030,3D3879
10,0,1037,14,138018,138398,F89822
10,0,1037,14,409745,410050,261A95
10,382,711,15,673556,673886,52EB05
16,80,200,16,49919,50040,55D9CE
16,217,549,16,50380,50713,098E08
16,352,533,19,628385,628567,F21369
16,352,510,20,9902,10061,FA201A
17,0,68,21,14016,14085,D79A59
18,0,68,21,14016,14085,D79A59
19,0,680,21,14016,14697,D79A59
20,0,68,21,14016,14085,D79A59
21,0,194,21,14016,14211,D79A59
22,0,674,21,14016,14691,D79A59
23,0,497,21,14016,14514,D79A59
17,0,68,22,6981609,6981678,9C6540
18,0,68,22,6981609,6981678,9C6540
19,0,461,22,6981609,6982071,9C6540
17,41,53,18,167944,167957,7B4BFE
18,0,68,18,167944,168013,7B4BFE
19,0,680,18,167944,168625,7B4BFE
20,0,68,18,167944,168013,7B4BFE
21,0,194,18,167944,168139,7B4BFE
22,439,561,18,167944,168067,7B4BFE
18,0,68,19,630589,630658,CE36E6
19,0,95,19,630589,630685,CE36E6
18,3,68,8,17624,17690,14EA50
19,0,680,8,17624,18305,14EA50
20,0,68,8,17624,17693,14EA50
21,0,194,8,17624,17819,14EA50
22,439,551,8,17624,17737,14EA50
19,9,680,14,330095,330767,12053E
20,0,68,14,330095,330164,12053E
21,0,194,14,330095,330290,12053E
22,0,674,14,330095,330460,12053E
19,210,680,19,631156,631627,6546DE
20,0,68,19,631156,631225,6546DE
21,0,194,19,631156,631351,6546DE
22,0,674,19,631156,631588,6546DE
19,292,680,23,28996,29385,B5E810
20,0,68,23,28996,29065,B5E810
21,0,194,23,28996,29191,B5E810
22,439,561,23,28996,29119,B5E810
20,0,68,20,12861,12930,CBCA24
21,0,194,20,12861,13056,CBCA24
22,0,674,20,12861,13313,CBCA24
20,0,68,24,49445,49514,C793B9
21,0,194,24,49445,49640,C793B9
22,0,674,24,49445,50120,C793B9
23,0,782,24,49445,50228,C793B9
24,0,69,24,49445,49515,C793B9
25,0,344,24,49445,49790,C793B9
26,0,66,24,49445,49512,C793B9
27,0,293,24,49445,49739,C793B9
28,0,1367,24,49445,50813,C793B9
29,0,68,24,49445,49514,C793B9
30,0,58,24,49445,49504,C793B9
31,0,69,24,49445,49515,C793B9
32,0,1802,24,49445,51248,C793B9
20,0,68,25,1448740,1448809,DAB2D7
21,0,194,25,1448740,1448935,DAB2D7
22,0,674,25,1448740,1449205,DAB2D7
21,33,194,26,188338,188500,74177C
22,0,674,26,188338,189013,74177C
23,0,782,26,188338,189121,74177C
24,0,69,26,188338,188408,74177C
25,0,344,26,188338,188683,74177C
26,0,66,26,188338,188405,74177C
27,0,293,26,188338,188632,74177C
28,0,1367,26,188338,189706,74177C
29,0,68,26,188338,188407,74177C
30,0,58,26,188338,188397,74177C
31,0,69,26,188338,188408,74177C
32,0,1802,26,188338,190141,74177C
21,33,194,27,31431,31593,F944B7
22,0,674,27,31431,32106,F944B7
23,0,782,27,31431,32214,F944B7
24,0,69,27,31431,31501,F944B7
25,0,344,27,31431,31776,F944B7
26,0,66,27,31431,31498,F944B7
27,0,293,27,31431,31725,F944B7
28,0,1367,27,31431,32799,F944B7
29,0,68,27,31431,31500,F944B7
30,0,58,27,31431,31490,F944B7
31,0,69,27,31431,31501,F944B7
32,0,1254,27,31431,32686,F944B7
23,36,782,14,138737,139484,F3CBD6
24,0,69,14,138737,138807,F3CBD6
25,0,58,14,138737,138796,F3CBD6
24,0,69,21,17085,17155,599455
25,0,344,21,17085,17430,599455
26,0,66,21,17085,17152,599455
27,0,293,21,17085,17379,599455
23,773,782,20,15341,15351,01EA42
24,0,69,20,15341,15411,01EA42
25,0,344,20,15341,15686,01EA42
23,775,782,19,634326,634334,BEEA2C
24,0,69,19,634326,634396,BEEA2C
25,0,344,19,634326,634671,BEEA2C
26,0,66,19,634326,634393,BEEA2C
27,0,253,19,634326,634580,BEEA2C
25,39,206,8,20687,20855,BD488C
25,39,206,18,171040,171208,94820C
25,39,207,23,31730,31899,D7CE2E
26,0,66,28,2130623,2130690,52AAA7
27,0,243,28,2130623,2130867,52AAA7
26,0,66,28,2310815,2310882,D48CC9
27,0,293,28,2310815,2311109,D48CC9
26,0,66,8,21177,21244,030770
27,0,293,8,21177,21471,030770
26,0,66,23,32223,32290,ADF6B6
27,0,293,23,32223,32517,ADF6B6
26,0,66,18,171533,171600,8151B9
27,0,293,18,171533,171827,8151B9
26,25,47,14,411853,411876,D5FEDF
27,0,147,14,411853,412001,D5FEDF
26,25,47,13,33818,33841,2EB518
27,0,121,13,33818,33940,2EB518
27,15,293,14,140154,140433,ACCD6E
27,15,293,12,206129,206408,49DF12
27,212,293,14,412531,412613,41BFE4
28,60,1367,29,433671,434979,24BA26
29,0,68,29,433671,433740,24BA26
30,0,58,29,433671,433730,24BA26
31,0,69,29,433671,433741,24BA26
28,60,1367,30,4300,5608,D132DF
29,0,68,30,4300,4369,D132DF
30,0,58,30,4300,4359,D132DF
31,0,69,30,4300,4370,D132DF
32,0,1802,30,4300,6103,D132DF
28,60,1367,31,132520,133828,278FD7
29,0,68,31,132520,132589,278FD7
30,0,58,31,132520,132579,278FD7
31,0,69,31,132520,132590,278FD7
28,193,404,32,217688,217900,A0106E
28,440,832,14,140815,141208,9CEFA7
28,471,1367,28,2312595,2313492,C8C4CA
29,0,68,28,2312595,2312664,C8C4CA
30,0,58,28,2312595,2312654,C8C4CA
31,0,69,28,2312595,2312665,C8C4CA
28,582,1159,21,19087,19665,108FCD
28,615,1367,20,3878,4631,CD0045
29,0,68,20,3878,3947,CD0045
30,0,58,20,3878,3937,CD0045
31,0,69,20,3878,3948,CD0045
32,0,1,20,3878,3880,CD0045
28,615,1301,20,16513,17200,2D63CA
28,615,1301,19,635509,636196,A08073
28,771,1367,3,61116,61713,7C9F01
29,0,68,3,61116,61185,7C9F01
30,0,58,3,61116,61175,7C9F01
31,0,69,3,61116,61186,7C9F01
28,771,1367,2,57446,58043,4DF425
29,0,68,2,57446,57515,4DF425
30,0,58,2,57446,57505,4DF425
31,0,69,2,57446,57516,4DF425
28,843,1367,28,2131173,2131698,B2EE7D
29,0,68,28,2131173,2131242,B2EE7D
30,0,58,28,2131173,2131232,B2EE7D
31,0,69,28,2131173,2131243,B2EE7D
28,852,1001,12,207864,208014,19D5EA
28,869,1006,14,141914,142052,273AEF
28,934,1367,14,414131,414565,A77AA3
29,0,32,14,414131,414164,A77AA3
28,1146,1367,21,20039,20261,0633A8
29,0,68,21,20039,20108,0633A8
30,0,58,21,20039,20098,0633A8
31,0,69,21,20039,20109,0633A8
32,0,1802,21,20039,21842,0633A8
33,0,118,21,20039,20158,0633A8
29,19,68,20,17260,17310,08F531
30,0,58,20,17260,17319,08F531
31,0,69,20,17260,17330,08F531
32,0,1,20,17260,17262,08F531
30,43,52,33,128818,128828,C58DA9
31,0,69,33,128818,128888,C58DA9
31,21,69,34,460042,460091,41BD01
32,1034,1802,2,58863,59632,A97CB4
33,0,218,2,58863,59082,A97CB4
32,1034,1802,3,62527,63296,58DC58
33,0,518,3,62527,63046,58DC58
34,0,67,3,62527,62595,58DC58
35,0,1133,3,62527,63661,58DC58
36,0,65,3,62527,62593,58DC58
37,0,65,3,62527,62593,58DC58
32,1182,1802,31,135575,136196,D71A25
32,1182,1802,29,436746,437367,64F2C5
32,1243,1802,27,43877,44437,88FE51
35,0,1133,5,1131178,1131987,58069E
35,738,971,5,1132410,1132644,050594
36,0,65,5,1132410,1132476,050594
37,0,57,5,1132410,1132468,050594
37,38,65,2,61315,61343,9481DD
